scenario_label,case_id,uav,axis,offset_m,route_constructible,lead_within_60s,common_warning_lead_s,minimum_pair_distance_m,total_path_length_m,total_turn_angle_rad
SYNTHETIC_SCENARIO_ONLY,POS_U3_X_+100,3,x,100.0,True,True,17.876433988353572,43.40487157174532,940.8204257491442,1.8264110453554037
SYNTHETIC_SCENARIO_ONLY,POS_U3_X_+150,3,x,150.0,True,True,17.876433988353572,41.2858724028749,922.9707138715237,1.9715814106910785
SYNTHETIC_SCENARIO_ONLY,POS_U3_X_+200,3,x,200.0,True,True,17.876433988353572,38.717572561967586,912.4164376126383,2.1304866728722716
SYNTHETIC_SCENARIO_ONLY,POS_U3_Y_-200,3,y,-200.0,True,True,23.807749462660066,43.55478187912301,1164.378503558689,1.8155182300117754
SYNTHETIC_SCENARIO_ONLY,POS_U3_Y_-150,3,y,-150.0,True,True,22.21428571428571,44.126455897871246,1119.7615186042071,1.7730808789152168
SYNTHETIC_SCENARIO_ONLY,POS_U3_Y_-100,3,y,-100.0,True,True,20.65986255670086,44.780355214920384,1076.2376701918313,1.7226187048983612
SYNTHETIC_SCENARIO_ONLY,POS_U3_Y_-50,3,y,-50.0,True,True,19.156496552802103,45.528566146626744,1034.1434220826661,1.6619644506711961
SYNTHETIC_SCENARIO_ONLY,POS_U3_Y_+0,3,y,0.0,True,True,17.876433988353572,46.38092783617386,993.948972850178,1.5882972629453929
SYNTHETIC_SCENARIO_ONLY,POS_U3_Y_+50,3,y,50.0,True,True,17.876433988353572,47.33931028955685,956.3159876274763,1.498045372458035
SYNTHETIC_SCENARIO_ONLY,POS_U3_Y_+100,3,y,100.0,True,True,17.876433988353572,48.386232772915676,922.1715056404734,1.386980154570752
SYNTHETIC_SCENARIO_ONLY,POS_U3_Y_+150,3,y,150.0,True,True,17.876433988353572,49.465714681271486,892.7809525659053,1.2508411937176112
SYNTHETIC_SCENARIO_ONLY,POS_U3_Y_+200,3,y,200.0,True,True,17.876433988353572,50.4605328425594,869.7615186042071,1.08703299807381
