scenario_id,arc_id,uav_id,predecessor_node,successor_node,departure_time_s,arrival_deadline_s,transition_distance_m,available_transition_time_s,transition_turn_proxy_rad,maximum_radius_along_transition_m,operating_radius_status
S2-SHO-SEQ,UAV-1::N::UAV-1::S2-SHO-SEQ::T-Q1-SINGLE::SHO-SEQ-M4::UAV-1->T::UAV-1,UAV-1,N::UAV-1::S2-SHO-SEQ::T-Q1-SINGLE::SHO-SEQ-M4::UAV-1,T::UAV-1,111,111,0,0,0,2400,PASS
S2-SHO-SEQ,UAV-1::S::UAV-1->N::UAV-1::S2-SHO-SEQ::T-Q1-SINGLE::SHO-SEQ-M1::UAV-1,UAV-1,S::UAV-1,N::UAV-1::S2-SHO-SEQ::T-Q1-SINGLE::SHO-SEQ-M1::UAV-1,0,34,680,34,0,2080,PASS
S2-SHO-SEQ,UAV-1::S::UAV-1->N::UAV-1::S2-SHO-SEQ::T-Q1-SINGLE::SHO-SEQ-M2::UAV-1,UAV-1,S::UAV-1,N::UAV-1::S2-SHO-SEQ::T-Q1-SINGLE::SHO-SEQ-M2::UAV-1,0,56,680,56,0,2080,PASS
S2-SHO-SEQ,UAV-2::N::UAV-2::S2-SHO-SEQ::T-Q2-TWO::SHO-SEQ-M1::UAV-2->T::UAV-2,UAV-2,N::UAV-2::S2-SHO-SEQ::T-Q2-TWO::SHO-SEQ-M1::UAV-2,T::UAV-2,39,39,0,0,0,2469.817807046,PASS
S2-SHO-SEQ,UAV-2::N::UAV-2::S2-SHO-SEQ::T-Q2-TWO::SHO-SEQ-M3::UAV-2->T::UAV-2,UAV-2,N::UAV-2::S2-SHO-SEQ::T-Q2-TWO::SHO-SEQ-M3::UAV-2,T::UAV-2,83,83,0,0,0,2469.817807046,PASS
S2-SHO-SEQ,UAV-2::S::UAV-2->N::UAV-2::S2-SHO-SEQ::T-Q2-TWO::SHO-SEQ-M1::UAV-2,UAV-2,S::UAV-2,N::UAV-2::S2-SHO-SEQ::T-Q2-TWO::SHO-SEQ-M1::UAV-2,0,25,588.727441181,25,2.412123025,1888.279640308,PASS
S2-SHO-SEQ,UAV-2::S::UAV-2->N::UAV-2::S2-SHO-SEQ::T-Q2-TWO::SHO-SEQ-M3::UAV-2,UAV-2,S::UAV-2,N::UAV-2::S2-SHO-SEQ::T-Q2-TWO::SHO-SEQ-M3::UAV-2,0,69,588.727441181,69,2.412123025,1888.279640308,PASS
S2-SHO-SEQ,UAV-4::N::UAV-4::S2-SHO-SEQ::T-Q1-SINGLE::SHO-SEQ-M2::UAV-4->T::UAV-4,UAV-4,N::UAV-4::S2-SHO-SEQ::T-Q1-SINGLE::SHO-SEQ-M2::UAV-4,T::UAV-4,67,67,0,0,0,2647.640458975,PASS
S2-SHO-SEQ,UAV-4::N::UAV-4::S2-SHO-SEQ::T-Q1-SINGLE::SHO-SEQ-M5::UAV-4->T::UAV-4,UAV-4,N::UAV-4::S2-SHO-SEQ::T-Q1-SINGLE::SHO-SEQ-M5::UAV-4,T::UAV-4,133,133,0,0,0,2647.640458975,PASS
S2-SHO-SEQ,UAV-4::S::UAV-4->N::UAV-4::S2-SHO-SEQ::T-Q1-SINGLE::SHO-SEQ-M2::UAV-4,UAV-4,S::UAV-4,N::UAV-4::S2-SHO-SEQ::T-Q1-SINGLE::SHO-SEQ-M2::UAV-4,0,56,947.048045244,56,0.757091191,2334.180798482,PASS
S2-SHO-SEQ,UAV-4::S::UAV-4->N::UAV-4::S2-SHO-SEQ::T-Q1-SINGLE::SHO-SEQ-M5::UAV-4,UAV-4,S::UAV-4,N::UAV-4::S2-SHO-SEQ::T-Q1-SINGLE::SHO-SEQ-M5::UAV-4,0,122,947.048045244,122,0.757091191,2334.180798482,PASS
S2-SHO-SUR,UAV-2::N::UAV-2::S2-SHO-SUR::T-Q2-TWO::SHO-SUR-M2+SHO-SUR-M5+SHO-SUR-M6::UAV-2->T::UAV-2,UAV-2,N::UAV-2::S2-SHO-SUR::T-Q2-TWO::SHO-SUR-M2+SHO-SUR-M5+SHO-SUR-M6::UAV-2,T::UAV-2,55,55,0,0,0,2469.817807046,PASS
